 initial abundance for selected isotopes
  839   0.00000E+00  NI 92
  840   0.00000E+00  NI 93
  841   0.00000E+00  NI 94
  842   0.00000E+00  NI 95
  843   0.00000E+00  NI 96
  844   0.00000E+00  NI 97
  845   0.00000E+00  NI 98
  846   0.00000E+00  NI 99
  847   0.00000E+00  CU 48
  848   0.00000E+00  CU 49
  849   0.00000E+00  CU 50
  850   0.00000E+00  CU 51
  851   0.00000E+00  CU 52
  852   0.00000E+00  CU 53
  853   0.00000E+00  CU 54
  854   0.00000E+00  CU 55
  855   0.00000E+00  CU 56
  856   0.00000E+00  CU 57
  857   0.00000E+00  CU 58
  858   0.00000E+00  CU 59
  859   0.00000E+00  CU 60
  860   0.00000E+00  CU 61
  861   0.00000E+00  CU 62
  862   6.60034E-07  CU 63
  863   0.00000E+00  CU 64
  864   3.03468E-07  CU 65
  865   0.00000E+00  CU 66
  866   0.00000E+00  CU 67
  867   0.00000E+00  CU 68
  868   0.00000E+00  CU 69
  869   0.00000E+00  CU 70
  870   0.00000E+00  CU 71
  871   0.00000E+00  CU 72
  872   0.00000E+00  CU 73
  873   0.00000E+00  CU 74
  874   0.00000E+00  CU 75
  875   0.00000E+00  CU 76
  876   0.00000E+00  CU 77
  877   0.00000E+00  CU 78
  878   0.00000E+00  CU 79
  879   0.00000E+00  CU 80
  880   0.00000E+00  CU 81
  881   0.00000E+00  CU 82
  882   0.00000E+00  CU 83
  883   0.00000E+00  CU 84
  884   0.00000E+00  CU 85
  885   0.00000E+00  CU 86
  886   0.00000E+00  CU 87
  887   0.00000E+00  CU 88
  888   0.00000E+00  CU 89
